,id,tweet,wildan,denise,angga,majority
25,3362,"Masih ingat kasus alat test covid 19 bekas pakai yg dijual oleh oknum @kimiafarma ? MdhÂ²an aja vaksin covid yg mau dilakukan berbayar nanti bukan vasin datang dari hibah. Aamiin YRA,,,",1,0,1,1
26,1601,"Memberanikan diri vaksin tinggal jalan kaki dari kost'an, karena dirasa tubuh udah fit dan sehat dari dua minggu kebelakang.",1,1,1,1
27,2804,"Susah banget mau vaksin di malang raya, padahal ktp malang. tiap ada bukaan vaksin online langsung buka langsung daftar langsung kuota penuh gak kebagian, di RT pun di batasin cuma ada buat lansia itu pun cuma 2 org",0,-1,0,0
28,6686,"buruan vaksin, ntrlagi berbayar malah makin gamau.",1,1,1,1
29,635,"Barangkali ada yg bisa bantu jwb,apa ada yg tau gmn cra mlakukan penghapusan daftar psrta vaksin gotong royong? Krn aq maupun perusahaan tmptq krja ga prnah mendaftar vaksin gotong royong tp NIK q terdaftar sbg penerima vaksin gotong royong. Tkut ada yg slah gunakan dataku",0,0,0,0
30,5682,"Percepatan vaksinasi utk mencapi herd immunity itu bs dicapai dgn penambahan secara besarÂ²an sarpras dan vaksinator pd semua area yg mudah dijangkau masy. banyak tanpa terkecuali. Vaksinasi Covid-19 dan Campak tdk bs disamakan, 1 mewabah 1 tidak.",1,1,1,1
31,5814,"karena imun tubuh blm terbentuk sempurna,apapun jenis vaksinnya ya, antibodi br terbentuk sempurna itu after 2minggu vaksin. krn banyakny pemahaman yg salah dr bnyk org yg sdh vaksin seolah olah merasa diri langsung kebal yg malah nanti menyebabkan tambahan ledakan kasus covid",0,1,0,0
32,3740,"Menolak adalah hak mereka, tapi kalau terpapar Covid 19 jangan minta layanan kesehatan terdepan &lt",1,1,1,1
33,1077,Seminggu lebih budheku sakit setelah di vaksin. Punya penyakit dalam (kurang tahu penyakit apa). Pas di vaksin lagi gk kambuh sakitnya.,0,0,0,0
34,4808,"Uwaaa thankyou mut sudah mau mengutarakan ini ðŸ˜­ Adanya sinopharm untuk diperjual belikan sebenernya memang untuk kasih opsi ke masyarakat ,ga wajib untuk beli. Doakan semoga produksi dan pendistribusiannya juga dilancarkan biar tingkat vaksinasi kita juga terus meningkat ðŸ¤—",1,1,1,1
35,4423,Nggak paham kenapa vaksin gotong royong pribadi dibatalkan.... biarin aja lah... gak ada yg dirugikan jugak.,1,0,1,1
36,3687,"bikin STRP harus pake sertifikat sudah vaksin, vaksinnya harus bayar  hoo jadi arahnya kesini",-1,-1,-1,-1
37,1110,"Ada yg tau info buat vaksin kabupaten ga? Aku bingung dapet info di mana, ga informatif kaya kota [bgr]  https://t.co/OlwRa69Bkg",0,0,0,0
38,5036,"Berarti bagus toh, nolong rakyat, daripada membebani rakyat melalui dagang vaksin",0,0,0,0
39,6470,Korban covid 19 terus bertambah sayangi keluarga anda lakukan vaksinasi dan protokol sehatan cegah penularan covid 19  https://t.co/Vczt5QYXN9,1,1,1,1
40,3358,Padahal dalam konteks vaksin ga ada gunanya ga sih sampe duluan yang dikejar kan semua or at least 70% sudah sampai baru optimal pemakaiannya.   Mending diberangkatin barengan berdasarkan wilayahnya lebih optimal,0,0,0,0
41,783,Stop dulu lah vaksin berbayar biar gak gaduh ðŸ™„,-1,-1,-1,-1
42,5722,"ada berita ""vaksin berbayar"". ga abis thinking ama komen org2 yg bilang bisnis negara, dll.  keknya pada minim literasi, coba perhatiin kata ""bisa dibeli"".  hei, itu cmn opsi buat klean yg males antri dapetin vaksin gratis. klo ga mau bayar, yaudah nunggu aja dapetin yg gratis",1,1,1,1
43,550,w abis vaksin pegel plus ngantuk zz,0,0,0,0
44,80,om gw + tp begitu denger dia udah divaksin dose 1 AZ gw agak lega.  suami temen yg juga baru dose 1 AZ &amp,1,1,1,1
45,1732,"Ya kan ada vaksin gratis yawda nyari yg gratis aja, kalo ada yg jual ya gapapa kan sedari awal sebetulnya memang vaksin berbayar. Gegara darurat aja makanya vaksin gotong royongnya mundur, walaupun beberapa instansi keknya dah ada yg pakai GR.",1,1,1,1
46,918,Habis vaksin pegel sebelah :)  https://t.co/J98wJI9PWs,0,0,0,0
47,5433,Hahahhaa makin ogah d vaksin  Rakyat kebawah yg skrg  sulit usaha mikir cuman gmn bertahan hdp  sampai pademi berlalu.  Ruwet mending lockdown drmh ðŸ˜‚ðŸ˜‚,-1,-1,-1,-1
48,1396,"Contoh, mereka yg tidak bisa dapat vaksin karena terdeteksi NIK nya sudah dipakai orang lain. Kasusnya ada?   Banyak. Bisa diurus? Bisa. Tapi pasti lama. Kalau kebetulan mereka adalah orang mampu, dan panik thd pandemi. Yok sok monggo vaksin mandiri dulu, Sambil mengurus kasusnya",0,0,0,0
49,6850,Bila ada yang pingin vaksin di @Cakra_Kostrad Cukup bawa KTP saja  https://t.co/V0XYfPUP1N,0,0,0,0
50,5556,Info info vaksin area batu dongs ker ker ku :),0,0,0,0
51,6020,"Jends mau tanya, misal mau vaksin tp ada kormobid gitu kek bronkitis/gerd (gangguan pernapasan) boleh engga ya?",0,0,0,0
52,5038,"Golongan yg paling ga percaya Covid ini adalah para orang tua. Mereka berharap anaknya pintar2, disekolahkan tinggi2.   Tapi dikasi tau anaknya ga percaya. Vaksin jg gamau. Diantara dokter2 yg aktif edukasi di sosmed, pasti masih ada yg struggle ngeyakinin bapaknya soal covid.",0,1,0,0
53,5121,"Vaksin wajib gratis, gak usah aneh aneh suruh bayar segala, otak dagang singkirin dulu tuan#badaipastiberlalu",-1,-1,-1,-1
54,5933,Sudah semakin dekat. Pagi ini om sendiri di Ambon meninggal karena covid. Jaga diri baik2 lah semuanya. Vaksin sana.  https://t.co/mUN8wi7MfE,1,1,1,1
55,557,"Gemes bgt nyariin vaksin gratis non domisili di Malang, informasinya cepet bgt jadi harus sering"" update ðŸ˜¶",0,0,0,0
56,1614,"Aku belum vaksin dan mau banget vaksin. Sekarang gak cuma takut infeksi virus tapi juga takut dipersulit birokrasi publik. Kemarin mau ikut vaksin sudah penuh semua. Sekarang cuma ngarepin program gotong royong perusahaan yang belum tentu ada. Sabar, semoga dilindungi tuhan.",1,1,1,1
57,941,Vaksinasi kpn rampung mbah?  https://t.co/OsR0yP27vM,0,0,0,0
58,5148,ayo vaksin bestie #Vaksin #vaccinated  https://t.co/WqRWsjoGag,1,1,1,1
59,6312,Vaksin di Malang!,0,0,1,0
60,847,"Gua takut bgt di vaksin dahh, karena takut jarum suntik :(",0,1,0,0
61,2713,"Abis Vaksin, pengen tau nihh, Imun badan kuat apa ngga, meriang apa ngga di masukin virus. Berantem - Berantem dah lu berdua di badan gua. Wkwwk",0,0,0,0
62,5243,"Ada vaksim gotong royong yg berbayar, ada vaksin sinovac dan lain2  Pilih yok, vaksin untk kesehatab  #VaksinBiarRakyatSehat",1,1,1,1
63,1218,-11fess setelah vaksin sinovac ada yg demam?,0,0,0,0
64,6824,"Inginku pampang harga Sinopharm gede2 di pos security kantor biar karyawan yg ogah vaksin bisa liat. Wong ya gratis dari perusahaan, tinggal bawa badan :)",1,1,1,1
65,4004,"Halo selamat siang. Mohon info untuk vaksinasi di Depok dong, udah cari dibeberapa link dan RS pada full kuota semua.. perlu pisan untuk persyaratan nemenin lahiran. Terima kasih ðŸ™ðŸ» #infovaksin #infodepok",0,0,0,0
66,6837,Idealnya vaksin tidak berbayar.,-1,-1,-1,-1
67,734,"AAAAA gw disuruh vaksin, sakit gak sie?",0,0,0,0
68,6786,"soal jatah vaksin, tgl 5 kmaren harusnya gw vaksin tpi ga jadi krn gw positif .. jadi ditunda entah sampai kapan, katanya 3 bulan lagi ~ lu2 mau ga bayarin vaksin buat gw? jgn salahin gw ya klo gw blon vaksin",0,0,0,0
69,2658,Yahhh ga kaget wong dana vaksin 137Trilliun. Yah masa 1-2Trilliun kaga masuk kantong?,-1,-1,-1,-1
70,4281,"Target vaksinasi 70% dr jumlah penduduk, berarti sekitar 189jt. Yg sdh divaksin (gratis) sekitar 30%, kira2 81jt. Kemungkinan dg munculnya vaksin berbayar ini target vaksinasi akan diturunkan dan sisanya yg belum divaksin gratis dihimbau utk vaksin mandiri (berbayar).",0,0,0,0
71,4108,"Yang belom vaksin, buruan dah llu pada vaksin mumpung masih gratis soalnya udah ada rencana noh jadi berbayar mana mahal lagi kan mending buat makan #IndonesiaKolaps #",0,0,0,0
72,3259,"Sebelum kimia farma bikin vaksinasi, mending dipastikan dl itu protokolnya wajib jarum suntik baru per pasien.  Jgn malah ngulang kasus swab kemarin ðŸ˜Œ",-1,-1,-1,-1
73,6434,ujung2nya jualan vaksin,-1,-1,-1,-1
74,2749,"Yang belum vaksin, segeralah mendapat vaksin. Sebelum nanti vaksin disuruh bayar hahaha",0,0,0,0
75,2293,gokar! Kalo kelewat jadwal vaksin gini bisa langsung datang ya? Apa harus jadwal ulang?  https://t.co/7gF7Lk8E9u,0,0,0,0
76,5624,"Mungkin lebih banyak org yg milih vaksin berbayar, krn scr psikologis, pemikiran org pada umumnya  pasti bilang yang bayar bakal lebih bagus dari yg gratis...  Kayak naek becak cm byr 2rb.. Becak ngebut, penumpang protes, tkg becak bilang, cuma bayar 2rb aja minta slamet ðŸ˜†ðŸ˜†ðŸ˜†",1,1,1,1
77,3098,"Kalau nanti vaksin gratis sulit didapat krn ada vaksin berbayar, mari sama2 gebuk pemerintah. Kalau nggak, lu aja yg negative thinking.",0,0,0,0
78,5568,seorang tmn yg slama ini tidak mau/tidak percaya vaksin pdhl gratis hr ini marahmarah ketika tau ada vaksin yg berbayar,0,0,0,0
79,420,"Teriaknya semua di negeri ini harus mengacu pada prinsip demokratis.  Tapi dalam soal vaksinasi, maunya ngikut mazhab sosialis.  Peleerrrr...",1,-1,-1,-1
80,3658,Demokrat dan PKS kompak ya. Padahal swasta juga boleh lho jualan vaksin.,0,0,0,0
81,5891,Vaksin nyokk,1,1,1,1
82,3472,Yang ini ribut tentang bola-bolaan. Eh yang ini masih aja ribut tentang vaksin dan virus.,0,0,0,0
83,6654,Semakin banyak juga yg tidak paham fungsi vaksin.,0,1,0,0
84,1848,-wal! Wal info dong ada vaksin massal lagi gak? Mau vaksin :(,0,0,0,0
85,3430,"Rezim kentit 1 juta vaksin ? Wah zalim banget , dana bansos aja di kentit ..",-1,-1,-1,-1
86,6116,Perasaan liat di tv vaksin banyak deh. Tp kenapa susah bgt buat dapetin nya ya hmmmm,0,0,0,0
87,6134,Apa kabar kopit? Sudahkah menurun grafik mu? Dan apa kabar vaksin?,0,0,0,0
88,6473,Gagal lg vaksin sad,0,0,0,0
89,5561,Yuh pemerintah bersuara dong knpa mau jual vaksin hibah? Mudah-mudahan yang dijual bkn yg dari hibah. Kalau tetap jual vaksin hibah benar2 pemerintah menjajah bangsa sendiri kalian layaknya kompeni biadab. Jika terjadi maka ini adalah rezim terbangsat yang pernah ada dalam sejarh,-1,-1,-1,-1
90,1425,"di vaksin gratis gk mau, kalau di sruh bayar kata nya negara kok berbisnis dengan rakyat. lah beli vaksin gratis sampek utang, berbayar ya buat bayar utang.",1,1,1,1
91,5398,Kalo untuk urusan vaksin jika harus sekalipun itu seribu mending gak usah vaksin,-1,-1,-1,-1
92,402,Kenapa anda tidak gerakkan partainya buat sentra vaksin gratis ? Seperti nasdem dan PAN,1,0,1,1
93,2779,"@PLindungi siang Pak, untuk sertifikat vaksin yg belum keluar, lapornya kemana ya? Trims",0,0,0,0
94,74,Yuk yang blom vaksin..  Buruan daftar ðŸ˜ŠðŸ‘,1,1,1,1
95,2752,Masih nggak habis pikir dengan orang-orang yang menolak program vaksin berbayar. Toh program vaksin berbayar menggunakan vaksin Sinopharm yang tentunya tidak mengambil kuota vaksin gratis yaitu Sinovac dan AstraZeneca-cont,1,1,1,1
96,2607, https://t.co/G0Li0XB6pN bagus ....tunda saja sampai pelayanan vaksin gratis menjangkau 50% penduduk,1,1,1,1
97,1969,"Abis vaksin, punya alasan buat rebahan Tp akhirnya ga jd santai krn drtd rebahan sambil ngurus kerjaan juga ðŸ™ƒ Gpp, puji Tuhan masih bs kerja ðŸ™ðŸ»",0,0,0,0
98,4748,"Vaksin yang disuntikan ke tubuh kita dari kecil apakah masih bertahan hingga kini? Jika fungsi vaksin adalah memancing imun agar meningkat, lalu kenapa imun kita masih bs drop hanya karena virus influenza, apalagi virus lainnya? Apakah karena vaksin bersifat sementara? #dibodohi",-1,-1,-1,-1
99,2224,"Vaksinasi berbayar kebijakan stupid, jangan sampai publik bereaksi negatif terhadap situasi ini.",-1,-1,-1,-1
100,6400,Dapet previllage vaksin drive thru tanpa harus ngantri di gor. Tinggal duduk manis di mobil...  Asli berasa anak pejabat  https://t.co/6jUL0CmtmL,1,1,1,1
101,6106,Nunggu vaksin merah putih malah yg dateng vaksin gotong royong.  I love Indonesia. â¤,0,0,0,0
102,1598,"Yah buka Aja atuh datanya ke publik. Itu kan tugas Lu (there's no use bersikap sopan lagi sama pemerintah saat ini sik, mereka Kan seharusnya melayani Kita sebagai rakyat, bukan sebaliknya kita Yang mesti takut ke mereka).  Wong data tentang distribusi vaksin aja gak transparan",-1,-1,-1,-1
103,2908,"Pintu bandara tetap dibuka, TKA tiongkok dan asing bebas masuk, destinasi wisata malah diendorse saat pandemi : jangan2 memang by design?  Menciptakan demand tinggi. Dus bisa jualan vaksin Rp800ribu per 2 dosis suntikan #KingOfLipService",-1,-1,-1,-1
104,4953,"Kenapa waktu skrng aku mau vaksin malah gabisa langsung hbs pendaftaran, hrs nunggu lg setelah hr pendaftaranðŸ¥² mana antrinya panjang byiangettttt mau dftr aja huhuhu",0,0,0,0
105,6264,"Vaksin gotong royong pakai sinopharm, bisa dong buat anakÂ² ?  https://t.co/ed0T85vJdl",0,0,0,0
106,5479,Vaksin gratis &amp,1,1,1,1
107,2704,Vaksin Demi bangsa dan negara Slm sehatðŸ‡²ðŸ‡¨  https://t.co/mbzcpXDsg5,1,1,1,1
108,5683,Vaksin gratis masih berlaku.. âœ” Kejar target 1juta suntikan 1hari masih berjalan..âœ” Stok Vaksin gratis terus berdatangan dri LNâœ”  Trus knp betina ini rame? Apakah rame karena vaksin merk dari china??  Bukan dari eropa /amerika? ðŸ¤”ðŸ¤”,0,0,0,0
109,4736,"Banyak! Mulai dari masyarakat kita yang mungkin malas antre, nggak dapat-dapat nomer vaksin, jelas dengan ini lebih fleksibel. Apalagi kita tahu pelayanan vaksin gratis banyak yang cuma bisa Senin-Jum'at, padahal nggak semua orang bisa di waktu itu.",-1,-1,-1,-1
110,3935,Habis vaksin terus kena stela jerukðŸ¤¢ðŸ¤®,0,0,0,0
111,6108,Ngantri Vaksin  https://t.co/f2gbfXQbUv,0,0,0,0
112,867,Makasih om @prastow ðŸ™ Atas penjelasannya...  Intinya: progam vaksin gratis dijamin terus ada sampai tuntas untuk semua penduduk indonesia...  SEKALI LAGI TRIMA KASIH.. OM.. PENJELASANNYA ðŸ™,1,1,1,1
113,3429,"Daripada liat kenyataan : udh kaya raya, mampu beli vaksin mahal sekalipun, eh malah ikut antri ambil jatah yg gratis utk org kurang mampu, mending mana? Ya biar aja mreka beli vaksin. Gitu aja kok jadi pd mumet ya..",1,1,1,1
114,3830,Kemarin disuntik vaksin dibahu sebelah kiri kenapa yang sakit malah pinggang sebelah kanan ya.  Konspirasi.,0,0,0,0
115,3457,"Vaksin tidak membuat tes PCR atau antigen menjadi positif. Kalau setelah disuntik vaksin ternyata positif, berarti itu karena penularan, bukan karena vaksinasi..",0,1,1,1
116,757,"Nyokap tuh terbuka bgt sama gue, kalo ada apa2 cerita. Kalo dapet berita2 di wa juga suka cerita ke gue, jadi gue gampang matahinnya, nggak yg ditelen sendiri. Awalnya juga nyokap sempet takut divaksin karena ada yg meninggal gitu2 setelah vaksin,",1,1,1,1
117,2743,"Vaksin berbayar ngapa heboh sih? itu kan buat percepatan, lagian yg berbayar bukan Sinovac. Buat yg males antri2 dan pingin bayar aja kan sah2 aja...",1,1,1,1
118,1544,"â€œVaksinasi yg gratis antrinya lama, bayar aja biar cepetâ€ sounds like vaksin lewat calo",-1,-1,-1,-1
119,1021,"Vaksinasi masih under target (100.000 dari target 1.000.000 dosis/hari), RS penuh sama orang-orang gejala berat, warga ke sana kemari nyari oksigen, kok bisa bilang terkendali?",-1,-1,-1,-1
120,3564,"Saran gw...mending pemerintah selain jual vaksin, skalian jual masker, tabung oksigen, hand sanitizer, jeruk lemon, jahe merah, dan vitamin C juga.  Biar TOLOL skalian",-1,-1,-1,-1
121,2122,"Percaya covid tapi ragu buat di vaksin, sah aja!! Gak usah digiring buat policy vaksin sbg syarat administratif lah...",0,0,1,0
122,1431,Mau dipaksa mau kagak intinya lo jualan kali... Klo jualan ya udah komersil...ini pandemi bkan ajang jualan cari untung dengan jualan vaksin kali ah... Gak apada pake hati pemerentah klo ngomong... Otak pade punya hati kagak dipake..,-1,-1,-1,-1
123,3080,Ngantri vaksin dari setengah 12 sampe skrg jam 2 blm dpt separo antrian Gilak,0,0,0,0
124,973,Bwi ada yang punya jadwal vaksin? Terima kasih,0,0,0,0
125,1085,Anjrit overthinking bgt mana belom sempet vaksin diundur muluðŸ˜­,0,0,0,0
126,2057,ini demam hbs vaksin emg sampe behari-hari gini ya.,0,0,0,0
127,532,pemerintah jualan vaksin pake vaksin hibah?,0,0,0,0
128,348,"My friend : ""kak coba deh buka bekas suntikannya trus tempelin duit koin nempel gak?""  Me : ðŸ˜¦ðŸ˜¦  Kyknya nih anak salah satu korban hoax ttg vaksin ðŸ˜‘",0,0,0,0
129,3728,"Dari sekian banyak lansia di sekitar rumah saya, cuma bokap nyokap yg baru di vaksin Sampai sekitar sini ada yg meninggal karena Covid pun mereka tetep kekeh ga mau vaksin",1,1,1,1
130,927,"""Wah virus nih"" ""Pasti grgr vaksin"" ""Harus vaksin terus""  HAHAHA iya imun gua masih lemah, baru vaksin 2hri yg lalu udah langsung kerja bagai kuda, jelaslah langsung ngedrop -_-",0,0,0,0
131,5813,"Mbok nyuntik vaksin di RT masing2, gausah pake dikumpulin di stadion lah",-1,-1,-1,-1
132,482,"Apakah disini ada yang punya informasi link vaksinasi (sinovac) untuk di daerah BSD, Cisauk? Makasih sebelumnya:)",0,0,0,0
133,2143,TERNYATA BESOK JADI VAKSIN AAAKKK,1,1,1,1
134,555,rekkk yg hari ini perjalanan sby-gresik atau gresik-sby udah berlaku ta peraturan surat vaksin dan surat kerjanya? nyuwun infone nggihhhhðŸ™ðŸ» -cak -yuk,0,0,0,0
135,1967,"@VeritasArdentur sore om, mau tny, 2 tmn sy sblmny sdh prnh kena covid dgn gejala ringan 6 bln lalu, sdh negatif. apa skg perlu vaksin lg mrk y om? trims",0,0,0,0
136,1099,Kalian udah vaksin?,0,0,0,0
137,6497,"Melawan covid tak cukup dgn vaksin dan Prokes, Nalar dan Logika juga sangat penting.  #COVID19  https://t.co/976BYt5Q5y",0,0,0,0
138,4558,"Jelas lah...mereka vaksin dah pada komplit, gk ngeyel soal prokes, patuh. Penduduknya gk sebanyak di Indonesia. Yaa dah bebas bukn pandemi lagi, tp jdi endemi saat ini. Udah vaksin blm see??!!",0,0,0,0
139,4397,"Saran Pak @BudiGSadikin @KemenkesRI  daripada vaksin berbayar, lebih baik kolaborasi sama banyak EO lokal buat ngadain vaksin. EO-nya dapat penghasilan selama pandemi, alur vaksinnya lebih rapi, dan masyarakat senang.   Makasih Pak, sehat selalu ðŸ‘Œ",1,1,1,1
140,2826,Tiwas antri vaksin habis @e100ss moga pulang2 ga bawa virus  https://t.co/0TQNoTLc3f,0,0,0,0
141,1288,Shopee jualan vaksin bentar lg lazada nyusul..,0,0,0,0
142,1959,"Vaksinasi berbasis event seremonial institusi dan ormas ini justru sumber keberantakan.  Bikin kerumunan, sporadis, ga bisa konstan. Ada penyekatan, langsung anjlok.  Padahal 1,5 juta dosis per hari itu sesederhana rata-rata 150 dosis per puskesmas per hari.",-1,-1,-1,-1
143,5155,aku yang diberitahu teman sekeluarga sudah booking PO vaksin pfizer di RS swasta seharga 1jt per dosis entah mengapa tidak terkejut dengan vaksin kimia farma,0,0,0,0
144,4779,Akhirnya bisa juga daftar vaksin ðŸ˜®â€ðŸ’¨,1,1,1,1
145,5237,"Dan si kopit ini bikin gue jadi ga bisa vaksin gotong royong, anjir keburu jadi bayar ini vaksin kalo mestu nunggu 3 bulan lagi ðŸ˜‘",0,0,0,0
146,537,"vaksinasi ya bagus sedap enak lezat gurih, kemarin ada lima bungkus ðŸ˜‚ðŸ˜‚ðŸ˜‚",0,0,0,0
147,5978,Adakah yang punya riwayat TBC dan sudah vaksin?,0,0,0,0
148,6851,"Pemerintah udah sediain vaksin gratis. Tinggal cari info, daftar, dateng, suntik. Beres.",1,1,1,1
149,204,"Bukan, waktujya yg ga tepat Disaat seperti ini kok malah jual vaksin?  Lhaa emg ada waktu yg tepat utk jualan? Sales mobil di saat seperti ini ya ttep jualan mobil, sales properti ya tetep jualan properti..  Skrg kan PPKM, semua2 dibatasi  Lhaa terus mksd ngana gimana??  Lanjut",-1,-1,-1,-1
150,176,Mau vaksin aja ribet amat,-1,-1,-1,-1
151,6878,"Beberapa minggu lalu mau vaksin badan jadi stress, hari ini mau vaksin malem udah gak enak badan..  Segitu takutnya sama jarum ya sist..",0,0,0,0
152,4583,"aku juga dukung kalau penjualannya melalui perusahaan, dan tak perlu di ""marketing"" kan ke pada publik.  perusahaan yang mau beli vaksin untuk karyawannya tinggal di data dan dilakukan transaksinya.  jangan dijual lewat apotik atau jalur distribusi ke masyarakat.",0,0,0,0
153,2919,"covid itu nyata, sudah ada bukti nyata dilingkungan terdekat kita masing masing. kakak, adik, dan keluarga, bahkan tak sedikit yang dirinya sendiri juga terkena covid.  tak ada alasan lagi untuk tak mempercayainya.  vaksin aja yuk.",1,1,1,1
154,1939,"Selama hal2 dasar itu masih melibatkan org lain, tolong jangan egois. Sedikit kecerobohan saja di bidang per-COVID-an, yang kena dampak ya orang sekitar yang bantuin kamu dari A-Z, langsung maupun tidak langsung.  Jadi, patuhi 5M &amp",1,1,1,1
155,4316,Abis vaksin bawaannya ngantuk dan laperrðŸ˜‘,0,0,0,0
156,4382,Kebahagiaan terbesar pada saat ini adalah berhasil membujuk dan mengantar orang tua untuk ikut vaksin.,1,1,1,1
157,1597,Selalu senang liat berita kedatangan vaksin. Semoga vaksinasi bisa terus dikebut demi terciptanya herd immunity.,1,1,1,1
158,3328,"Yg heran, waktu Kadin bikin vaksin gotong royong, nggak ada yg ribut. itu juga perush bayar 1 juta per orang.",0,0,0,0
159,3034,Lekas sembuh nenek dari demamnya.... Kakek juga panjang umur ya... I miss you grandpa grandma.... Godbless you... Jangan di vaksin dulu ya... Tuhan memberkati...  https://t.co/Duw3HYCqE8,0,0,0,0
160,5617,"Kalo mau fair, kasi gratis vaksin paling bagus untuk masyarakat....kan duitnya ada",1,1,1,1
161,780,"(gaes) mau info terbaru buat vaksin daerah sarijadi, ciwaruga dan sekitarnya dong. yang gak perlu ktp yaa, thank you!",0,0,0,0
